"Id","Mission","Sensor","Product","COLLECTION","Status","Start","Stop","Orbit","Track","Frame","Swath","Station","PASSTIME","Pass","SCENE_CENTER","FOOTPRINT","ACQUISITIONDESCRIPTOR","THUMBNAIL_URL","PRODUCT_TYPE","CLOUD_COVER_PERCENTAGE","SNOW_COVER_PERCENTAGE","IMAGE_QUALITY_DEGRATATION","Display","Mosaic"
"11","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-04 09:08:41.75","2012-01-04 09:09:24.27","51501","194","","I6","","2367457/2409977","D","37.55 14.39","38.87 14.25 38.76 15.09 36.24 14.54 36.35 13.72 38.87 14.25","ENVISAT-1-12010409084175-4252.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120104T090841750-20120104T090924270_D_T-XI0B.jpg","","","","","true","false"
"12","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-04 10:44:46.32","2012-01-04 10:45:25.41","51502","195","","I6","","2118153/2157241","D","52.38 -7.12","53.59 -7.35 53.48 -6.25 51.17 -6.9 51.29 -7.96 53.59 -7.35","ENVISAT-1-12010410444632-3909.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120104T104446320-20120104T104525410_D_T-XI0B.jpg","","","","","true","false"
"13","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-05 21:28:37.39","2012-01-05 21:29:09.04","51523","216","","I4","","856487/888136","A","52.62 5.03","51.76 5.94 51.61 4.7 53.48 4.08 53.63 5.37 51.76 5.94","ENVISAT-1-12010521283739-3165.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120105T212837390-20120105T212909040_A_T-XI0B.jpg","","","","","true","false"
"14","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-06 09:31:51.99","2012-01-06 09:33:31.34","51530","223","","I6","","2153624/2252974","D","48.51 10.24","51.5 10.47 51.38 11.53 48.25 10.69 45.52 9.99 45.64 9.05 48.36 9.69 51.5 10.47","ENVISAT-1-12010609315199-13935.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120106T093151990-20120106T093331340_D_T-XI0B.jpg","","","","","true","false"
"15","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-07 08:54:58.16","2012-01-07 08:57:14.69","51544","237","","I6","","2144710/2281240","D","47.94 19.28","52.03 19.79 51.91 20.86 48.84 20.03 45.29 19.13 43.85 18.78 43.97 17.86 45.41 18.19 48.95 19.03 52.03 19.79","ENVISAT-1-12010708545816-21653.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120107T085458160-20120107T085714690_D_T-XI0B.jpg","","","","","true","false"
"16","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-07 08:55:59.85","2012-01-07 08:58:53.73","51544","237","","I6","","2206400/2380280","D","43.2 18.16","48.39 18.88 48.28 19.88 45.29 19.13 41.75 18.28 38.2 17.47 38 17.42 38.11 16.59 38.31 16.63 41.86 17.4 45.41 18.19 48.39 18.88","ENVISAT-1-12010708555985-25388.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120107T085559850-20120107T085853730_D_T-XI0B.jpg","","","","","true","false"
"17","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-07 08:57:49.59","2012-01-07 08:58:54.23","51544","237","","I6","","2316140/2380780","D","39.94 17.42","41.9 17.41 41.79 18.29 38.79 17.6 37.97 17.42 38.08 16.58 38.9 16.76 41.9 17.41","ENVISAT-1-12010708574959-10464.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120107T085749590-20120107T085854230_D_T-XI0B.jpg","","","","","true","false"
"18","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-07 10:38:11.51","2012-01-07 10:39:04.30","51545","238","","I6","","2324174/2376967","D","39.81 -7.67","41.43 -7.76 41.32 -6.89 38.2 -7.59 38.31 -8.43 41.43 -7.76","ENVISAT-1-12010710381151-5279.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120107T103811510-20120107T103904300_D_T-XI0B.jpg","","","","","true","false"
"19","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-08 09:58:00.51","2012-01-08 09:58:29.98","51559","252","","I6","","2118153/2147621","D","52.67 4.65","53.59 4.34 53.48 5.44 51.74 4.94 51.86 3.88 53.59 4.34","ENVISAT-1-12010809580051-2947.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120108T095800510-20120108T095829980_D_T-XI0B.jpg","","","","","true","false"
"20","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-08 09:58:00.51","2012-01-08 10:00:03.69","51559","252","","I6","","2118153/2241331","D","49.9 3.91","53.59 4.34 53.48 5.44 50.02 4.47 46.48 3.55 46.22 3.48 46.33 2.53 46.59 2.6 50.13 3.45 53.59 4.34","ENVISAT-1-12010809580051-20318.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120108T095800510-20120108T100003690_D_T-XI0B.jpg","","","","","true","false"
"21","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-08 10:02:34.70","2012-01-08 10:05:27.10","51559","252","","I6","","2392341/2564741","D","32.23 -0.1","37.4 0.57 37.28 1.4 34.05 0.69 30.49 -0.07 27.06 -0.79 27.18 -1.53 30.61 -0.83 34.17 -0.1 37.4 0.57","ENVISAT-1-12010810023470-25240.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120108T100234700-20120108T100527100_D_T-XI0B.jpg","","","","","true","false"
"22","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-09 09:21:38.70","2012-01-09 09:23:47.58","51573","266","","I6","","2141317/2270197","D","48.37 12.71","52.22 13.16 52.11 14.24 48.84 13.35 45.29 12.45 44.5 12.26 44.62 11.33 45.41 11.51 48.95 12.35 52.22 13.16","ENVISAT-1-12010909213870-20888.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120109T092138700-20120109T092347580_D_T-XI0B.jpg","","","","","true","false"
"23","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-09 09:22:33.02","2012-01-09 09:24:40.71","51573","266","","I6","","2195637/2323327","D","45.2 11.94","49.02 12.36 48.91 13.37 45.89 12.6 42.34 11.74 41.37 11.51 41.48 10.63 42.45 10.85 46 11.65 49.02 12.36","ENVISAT-1-12010909223302-20769.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120109T092233020-20120109T092440710_D_T-XI0B.jpg","","","","","true","false"
"24","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-09 09:23:40.57","2012-01-09 09:24:43.57","51573","266","","I6","","2263187/2326187","D","43.12 11.46","45.04 11.42 44.92 12.36 41.75 11.6 41.2 11.47 41.31 10.6 41.86 10.72 45.04 11.42","ENVISAT-1-12010909234057-10300.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120109T092340570-20120109T092443570_D_T-XI0B.jpg","","","","","true","false"
"25","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-10 08:46:40.85","2012-01-10 08:48:05.93","51587","280","","I6","","2248454/2333534","D","43.34 20.7","45.91 20.81 45.8 21.76 42.34 20.93 40.77 20.56 40.88 19.69 42.45 20.04 45.91 20.81","ENVISAT-1-12011008464085-12508.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120110T084640850-20120110T084805930_D_T-XI0B.jpg","","","","","true","false"
"26","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-10 08:48:27.22","2012-01-10 08:48:59.85","51587","280","","I2","","2354824/2387454","D","38.11 22.88","39.16 22.55 38.97 23.72 37.05 23.2 37.24 22.06 39.16 22.55","ENVISAT-1-12011008482722-3263.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120110T084827220-20120110T084859850_D_T-XI0B.jpg","","","","","true","false"
"27","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-10 08:49:51.38","2012-01-10 08:52:08.35","51587","280","","I6","","2438984/2575950","D","30.52 17.92","34.64 18.37 34.52 19.17 31.09 18.44 27.52 17.69 26.4 17.45 26.52 16.72 27.64 16.95 31.2 17.67 34.64 18.37","ENVISAT-1-12011008495138-21697.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120110T084951380-20120110T085208350_D_T-XI0B.jpg","","","","","true","false"
"28","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-10 10:27:19.65","2012-01-10 10:30:33.66","51588","281","","I6","","2273378/2467388","D","38.64 -5.42","44.44 -4.58 44.32 -3.66 41.16 -4.41 37.61 -5.21 34.05 -5.99 32.83 -6.25 32.95 -7.03 34.17 -6.78 37.72 -6.04 41.27 -5.28 44.44 -4.58","ENVISAT-1-12011010271965-31401.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120110T102719650-20120110T103033660_D_T-XI0B.jpg","","","","","true","false"
"29","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-11 08:13:04.31","2012-01-11 08:15:23.29","51601","294","","I6","","2436967/2575950","D","30.57 27.12","34.76 27.59 34.64 28.39 31.09 27.63 27.52 26.88 26.4 26.64 26.52 25.91 27.64 26.14 31.2 26.86 34.76 27.59","ENVISAT-1-12011108130431-21898.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120111T081304310-20120111T081523290_D_T-XI0B.jpg","","","","","true","false"
"30","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-11 09:48:37.62","2012-01-11 09:50:12.44","51602","295","","I6","","2156384/2251204","D","48.48 6.06","51.34 6.25 51.22 7.31 48.25 6.52 45.63 5.85 45.75 4.91 48.36 5.52 51.34 6.25","ENVISAT-1-12011109483762-13482.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120111T094837620-20120111T095012440_D_T-XI0B.jpg","","","","","true","false"
"31","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-11 09:49:55.98","2012-01-11 09:50:12.44","51602","295","","I6","","2234744/2251204","D","46.17 5.49","46.72 5.13 46.61 6.09 45.63 5.85 45.75 4.91 46.72 5.13","ENVISAT-1-12011109495598-1646.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120111T094955980-20120111T095012440_D_T-XI0B.jpg","","","","","true","false"
"32","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-11 09:52:53.63","2012-01-11 09:55:37.19","51602","295","","I6","","2412394/2575950","D","31.3 2.22","36.21 2.83 36.09 3.64 32.86 2.95 29.3 2.19 26.4 1.58 26.52 0.85 29.42 1.44 32.98 2.17 36.21 2.83","ENVISAT-1-12011109525363-24356.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120111T095253630-20120111T095537190_D_T-XI0B.jpg","","","","","true","false"
"33","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-12 09:12:55.62","2012-01-12 09:14:04.53","51616","309","","I6","","2219441/2288351","D","45.53 14.53","47.62 14.53 47.51 15.51 44.11 14.67 43.43 14.51 43.55 13.6 44.23 13.75 47.62 14.53","ENVISAT-1-12011209125562-10891.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120112T091255620-20120112T091404530_D_T-XI0B.jpg","","","","","true","false"
"34","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-12 09:12:55.62","2012-01-12 09:17:42.27","51616","309","","I6","","2219441/2506091","D","39.09 13.06","47.62 14.53 47.51 15.51 44.11 14.67 40.57 13.84 37.01 13.04 33.46 12.26 30.54 11.64 30.66 10.88 33.57 11.48 37.13 12.21 40.68 12.97 44.23 13.75 47.62 14.53","ENVISAT-1-12011209125562-44665.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120112T091255620-20120112T091742270_D_T-XI0B.jpg","","","","","true","false"
"35","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-12 09:13:56.43","2012-01-12 09:16:02.43","51616","309","","I6","","2280251/2406251","D","40.24 13.31","44.03 13.7 43.91 14.62 40.57 13.84 37.01 13.04 36.46 12.91 36.58 12.09 37.13 12.21 40.68 12.97 44.03 13.7","ENVISAT-1-12011209135643-20600.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120112T091356430-20120112T091602430_D_T-XI0B.jpg","","","","","true","false"
"36","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-13 08:35:53.60","2012-01-13 08:37:02.96","51630","323","","I6","","2202407/2271767","D","46.52 23.95","48.62 23.95 48.51 24.95 45.29 24.14 44.41 23.92 44.53 23 45.41 23.2 48.62 23.95","ENVISAT-1-12011308355360-10936.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120113T083553600-20120113T083702960_D_T-XI0B.jpg","","","","","true","false"
"37","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-13 08:35:53.60","2012-01-13 08:37:10.60","51630","323","","I6","","2202407/2279407","D","46.29 23.9","48.62 23.95 48.51 24.95 45.29 24.14 43.96 23.81 44.08 22.89 45.41 23.2 48.62 23.95","ENVISAT-1-12011308355360-11700.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120113T083553600-20120113T083710600_D_T-XI0B.jpg","","","","","true","false"
"38","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-13 08:40:53.56","2012-01-13 08:42:07.14","51630","323","","I6","","2502367/2575950","D","28.64 20.04","30.88 20.1 30.76 20.86 27.52 20.19 26.4 19.95 26.52 19.22 27.64 19.45 30.88 20.1","ENVISAT-1-12011308405356-11358.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120113T084053560-20120113T084207140_D_T-XI0B.jpg","","","","","true","false"
"39","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-13 10:17:12.54","2012-01-13 10:22:21.03","51631","324","","I6","","2267461/2575950","D","35.6 -3.56","44.79 -1.99 44.67 -1.06 41.16 -1.9 37.61 -2.7 34.05 -3.48 30.49 -4.24 26.93 -4.98 26.4 -5.1 26.52 -5.83 27.05 -5.72 30.61 -5 34.17 -4.27 37.72 -3.53 41.27 -2.77 44.79 -1.99","ENVISAT-1-12011310171254-50849.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120113T101712540-20120113T102221030_D_T-XI0B.jpg","","","","","true","false"
"40","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-15 09:01:33.07","2012-01-15 09:03:29.87","51659","352","","I6","","2137634/2254434","D","48.94 17.87","52.44 18.22 52.33 19.31 48.84 18.36 45.44 17.49 45.55 16.55 48.95 17.36 52.44 18.22","ENVISAT-1-12011509013307-15680.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120115T090133070-20120115T090329870_D_T-XI0B.jpg","","","","","true","false"
"41","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-16 10:05:57.92","2012-01-16 10:06:30.74","51674","367","","I6","","2193444/2226264","D","48.12 1.79","49.15 1.53 49.04 2.54 47.11 2.04 47.22 1.06 49.15 1.53","ENVISAT-1-12011610055792-3282.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120116T100557920-20120116T100630740_D_T-XI0B.jpg","","","","","true","false"
"42","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-17 09:30:26.37","2012-01-17 09:30:58.93","51688","381","","I6","","2266781/2299341","D","43.81 9.95","44.83 9.71 44.71 10.64 42.78 10.17 42.89 9.27 44.83 9.71","ENVISAT-1-12011709302637-3256.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120117T093026370-20120117T093058930_D_T-XI0B.jpg","","","","","true","false"
"43","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-17 09:30:28.09","2012-01-17 09:31:16.93","51688","381","","I6","","2268501/2317341","D","43.22 9.81","44.72 9.68 44.6 10.61 41.72 9.92 41.83 9.04 44.72 9.68","ENVISAT-1-12011709302809-4884.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120117T093028090-20120117T093116930_D_T-XI0B.jpg","","","","","true","false"
"44","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-17 09:31:31.46","2012-01-17 09:32:16.11","51688","381","","I6","","2331871/2376521","D","39.6 8.99","40.98 8.85 40.87 9.72 38.22 9.12 38.33 8.28 40.98 8.85","ENVISAT-1-12011709313146-4465.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120117T093131460-20120117T093216110_D_T-XI0B.jpg","","","","","true","false"
"45","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-18 08:52:01.24","2012-01-18 08:53:40.64","51702","395","","I6","","2166507/2265907","D","47.75 20.08","50.74 20.3 50.62 21.34 47.66 20.56 44.76 19.84 44.88 18.91 47.77 19.58 50.74 20.3","ENVISAT-1-12011808520124-13940.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120118T085201240-20120118T085340640_D_T-XI0B.jpg","","","","","true","false"
"46","ENVISAT-1","ASAR/IM","ASA_IM__0P","ESA.EECF.ENVISAT_ASA_IMx_xS","Archived","2012-01-18 08:52:25.86","2012-01-18 08:57:38.45","51702","395","","I6","","2191127/2503717","D","40 18.27","49.29 19.95 49.18 20.96 45.89 20.12 42.34 19.26 38.79 18.44 35.24 17.66 31.68 16.89 30.68 16.68 30.8 15.91 31.8 16.12 35.35 16.85 38.9 17.6 42.45 18.37 46 19.17 49.29 19.95","ENVISAT-1-12011808522586-51259.ASA_IM__0P","http://eoliserv.eo.esa.int/browse/ASARz0IM/ASA_IM__0P/ENVISAT_1/20120118T085225860-20120118T085738450_D_T-XI0B.jpg","","","","","true","false"
